eventID,higherGeographyID,locationID,verbatimLocality,locality,eventYear,eventDate,minimumDepthinMeters,maximumDepthinMeters,samplingProtocol,samplingEffort,sampleSizeValue,decimalLongitude,decimalLatitude,geodeticDatum,Country,countryCode
1,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video10,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
2,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video12,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
3,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video13,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
4,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video14,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
5,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video15,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
6,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video17,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
7,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video23,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
8,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video24,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
9,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video25,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
10,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video3,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
11,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video5,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
12,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video6,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
13,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video7,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
14,BR:SISBIOTA-MAR:abrolhos_chapeirao_2010_Video8,BrazilianCoast,abrolhos,chapeirao,chapeirao,2010,2010-03-04,1,7,photoquadrats,5,0.0625,-38.6625,-17.96277778,decimal degrees,Brazil,BR
