"eventID","higherGeography","verbatimLocality","site","locality","year","eventDate","minimumDepthinMeters","maximumDepthinMeters","samplingProtocol","samplingEffort","sampleSizeValue","decimalLongitude","decimalLatitude","geodeticDatum","Country","countryCode"
"1","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video1","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,7.91463414634146,7.91463414634146,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"2","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video10","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,5,5,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"3","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video12","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,5,5,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"4","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video13","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,5,5,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"5","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video15","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,5,5,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"6","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video18","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,5,5,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"7","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video2","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,7.30246913580247,7.30246913580247,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"8","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video20","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,5,5,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"9","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video3","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,6.98591549295775,6.98591549295775,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
"10","BR:ReefSYN:SISBIOTA-MAR-video-plots:BrazilianCoast:abrolhos_chapeirao_2010_video4","BrazilianCoast","chapeiroes","abrolhos","chapeirao",2010,2010-03-04,6.64920634920635,6.64920634920635,"video plot",12,2,-38.6625,-17.96277778,"decimal degrees","Brazil","BR"
