coral	peixe	intercept	low.int	high.int	estimate	low	high	sp	mID	mRdmP	
teste.5%6	Millepora.alcicornis	Stegastes fuscus	263.004.103.523.864	115.175.090.700.005	499.619.615.214.693	416.097.217.986.436	0.646302249070438	101.421.320.140.248	Stegastes fuscus	0	0
teste.5%3	Millepora.alcicornis	Halichoeres poeyi	247.799.748.923.051	0.890862525337407	513.337.149.319.333	478.340.155.906.615	0.965682808629998	109.516.603.864.042	Halichoeres poeyi	0	0
teste.5%	Millepora.alcicornis	Abudefduf saxatilis	319.904.882.964.387	175.811.481.917.942	543.570.091.103.528	296.011.659.781.711	-0.0113740813075632	841.287.357.809.865	Abudefduf saxatilis	0	0
teste.5%1	Millepora.alcicornis	Acanthurus bahianus	277.271.179.200.802	135.155.764.542.559	498.654.798.408.889	379.503.047.934.943	0.392795938722454	922.514.664.752.187	Acanthurus bahianus	0	0
teste.5%2	Millepora.alcicornis	Halichoeres brasiliensis	258.081.227.777.391	108.228.091.215.445	508.189.782.645.293	475.561.404.305.254	0.904783796334536	110.151.818.905.484	Halichoeres brasiliensis	0.004	0.013
teste.5%5	Millepora.alcicornis	Sparisoma axillare	342.057.371.618.903	191.596.206.081.261	563.883.223.255.461	245.586.268.990.869	-0.297104438657415	779.198.404.867.951	Sparisoma axillare	0	0
teste.5%4	Millepora.alcicornis	Holocentrus adscensionis	338.626.212.175.458	200.368.253.202.212	542.753.677.113.032	295.199.022.066.907	-0.0807136071082332	786.725.160.879.041	Holocentrus adscensionis	0	0
teste.5%110	Montastraea.cavernosa	Sparisoma frondosum	291.177.903.174.741	148.512.442.082.441	521.638.616.351.797	439.850.019.128.646	0.337223968517369	118.387.678.325.192	Sparisoma frondosum	0.001	0.001
teste.5%21	Montastraea.cavernosa	Sparisoma axillare	347.538.399.313.883	196.968.914.249.627	584.410.545.671.714	354.447.112.132.891	-0.0341643741865747	103.758.267.305.185	Sparisoma axillare	0	0
teste.5%61	Mussismilia.hispida	Elacatinus figaro	0.542553486554838	-0.31241142582545	17.552.124.496.401	363.558.558.270.525	148.672.963.268.577	637.966.115.497.827	Elacatinus figaro	0.014	0.019
teste.5%10	Mussismilia.hispida	Parablennius marmoreus	0.158542829737615	-0.759478108699017	149.404.292.064.311	336.920.356.920.655	130.079.081.482.991	672.194.418.151.018	Parablennius marmoreus	0	0.001
teste.5%14	Mussismilia.hispida	Stegastes fuscus	277.189.545.074.064	125.328.215.620.361	513.495.014.784.426	456.878.827.310.937	111.228.755.271.589	987.359.487.902.476	Stegastes fuscus	0	0
teste.5%51	Mussismilia.hispida	Chaetodon striatus	195.723.211.139.681	0.852318267479922	36.354.646.414.244	307.805.671.209.893	0.657168242310765	725.197.293.536.542	Chaetodon striatus	0	0
teste.5%8	Mussismilia.hispida	Halichoeres poeyi	227.353.735.043.668	0.959085306852897	413.881.981.888.459	429.956.275.961.514	132.272.364.207.061	862.123.435.114.877	Halichoeres poeyi	0	0
teste.5%23	Mussismilia.hispida	Abudefduf saxatilis	250.924.499.941.508	155.334.299.229.589	376.627.338.667.693	0.700967842827955	-0.472643718664202	270.645.741.764.115	Abudefduf saxatilis	0	0
teste.5%11	Mussismilia.hispida	Scarus zelindae	-0.400618662153356	-109.194.999.310.675	0.59907719473908	0.295738856372938	-0.811529216772412	299.663.663.222.258	Scarus zelindae	0.019	0.043
teste.5%13	Mussismilia.hispida	Sparisoma frondosum	316.179.390.286.115	155.684.837.811.608	568.532.186.586.806	428.868.954.426.878	0.669498335643398	98.353.262.197.647	Sparisoma frondosum	0	0
teste.5%111	Mussismilia.hispida	Acanthurus bahianus	261.168.053.184.459	120.857.373.519.666	490.953.252.049.829	305.994.323.893.572	0.0963521306253737	856.639.194.987.912	Acanthurus bahianus	0	0
teste.5%25	Mussismilia.hispida	Acanthurus chirurgus	0.786045097339663	0.299625720868766	128.799.090.106.199	0.0630793318953149	-0.471889200759975	0.713047020758144	Acanthurus chirurgus	0	0
