"coral";"peixe";"intercept";"low.int";"high.int";"estimate";"low";"high";"sp";"mID";"mRdmP"
"teste.5%16";"Millepora.alcicornis";"Halichoeres penrosei";-2.21143251733804;-3.50063579975398;-1.087431747525;-1.09017598619116;-3.34823786912933;0.398655971910933;"Halichoeres penrosei";0.569;0.576
"teste.5%5";"Millepora.alcicornis";"Stegastes fuscus";2.63624333895261;0.780303794846387;5.25253620529433;4.51164447501124;1.04262731072341;9.82466980721337;"Stegastes fuscus";0.003;0.003
"teste.5%7";"Millepora.alcicornis";"Cryptotomus roseus";-0.534174896139606;-1.32690799191849;0.310608106446136;1.2758704456509;0.367115732365055;2.72384592011768;"Cryptotomus roseus";0.018;0.014
"teste.5%12";"Millepora.alcicornis";"Chaetodon sedentarius";-0.892534570093614;-1.92215972317488;0.670231380032689;0.957615811004728;-0.394112577229569;3.82738163473404;"Chaetodon sedentarius";0.109;0.108
"teste.5%4";"Millepora.alcicornis";"Sparisoma tuiupiranga";-0.378068860519024;-1.02499935402451;0.278896799380522;0.232970266566792;-0.472043706488592;0.972767950482075;"Sparisoma tuiupiranga";0.006;0.006
"teste.5%1";"Millepora.alcicornis";"Chaetodon striatus";1.2694115123752;0.400127513606385;2.53558486138418;0.501901666322855;-0.558165079387531;2.26637787095772;"Chaetodon striatus";0.058;0.081
"teste.5%";"Millepora.alcicornis";"Abudefduf saxatilis";2.77846878147283;1.30236702515349;5.07821616141634;3.0958777659733;0.255154770460793;7.66644557976135;"Abudefduf saxatilis";0.133;0.129
"teste.5%13";"Millepora.alcicornis";"Halichoeres dimidiatus";-0.0187876230005633;-1.17430632599903;1.50437716498364;1.29779503437431;-0.198758775226525;3.94524305939935;"Halichoeres dimidiatus";0.233;0.258
"teste.5%2";"Millepora.alcicornis";"Scarus zelindae";-0.0629152398887595;-0.940758216148692;1.0686648562056;2.10788444110967;0.712537494149516;4.34174501054744;"Scarus zelindae";0.022;0.025
"teste.5%15";"Millepora.alcicornis";"Rypticus saponaceus";-0.44446519307637;-2.25923968508576;1.70737633833176;5.51644119249892;1.35441487333449;11.2786133988892;"Rypticus saponaceus";0.599;0.638
"teste.5%6";"Millepora.alcicornis";"Acanthurus chirurgus";1.35550498083353;0.570411273008884;2.39221913983244;-0.0245053560611996;-0.964274285523628;2.12591264027301;"Acanthurus chirurgus";0.002;0.001
"teste.5%11";"Millepora.alcicornis";"Bodianus rufus";0.693785687591544;-0.267247186423633;2.33993736596404;1.78297274573243;0.237611829842598;5.15661266073187;"Bodianus rufus";0.343;0.322
"teste.5%3";"Millepora.alcicornis";"Sparisoma axillare";3.60382647936351;1.98906352665154;6.106813807235;2.08674039341159;-0.500051529126686;6.73398521578299;"Sparisoma axillare";0;0
"teste.5%9";"Millepora.alcicornis";"Holocentrus adscensionis";1.20005813168021;0.459519466904556;2.06232524640533;0.927210818948863;-0.162453373648837;2.37740575334712;"Holocentrus adscensionis";0.001;0.002
"teste.5%10";"Millepora.alcicornis";"Mycteroperca acutirostris";-0.690123684966925;-1.44301794615222;0.0391320612736091;-0.610528032928604;-1.70926248480273;0.301688595467703;"Mycteroperca acutirostris";0.29;0.272
"teste.5%14";"Millepora.alcicornis";"Epinephelus morio";-0.263717432508537;-1.95370350474298;2.39665316652414;1.1180111243059;-1.16474285393987;5.59609290171978;"Epinephelus morio";0.594;0.599
"teste.5%51";"Mussismilia.hispida";"Stegastes fuscus";2.45378090551615;0.923473111253058;4.79413623341339;4.4879130550289;1.35407640861421;9.18828131791826;"Stegastes fuscus";0.002;0.005
"teste.5%71";"Mussismilia.hispida";"Cryptotomus roseus";-0.573830735738463;-1.29007041445837;0.0560011063700041;-0.215670992923482;-1.11971104009896;0.491749178182523;"Cryptotomus roseus";0.028;0.028
"teste.5%121";"Mussismilia.hispida";"Chaetodon sedentarius";-1.16733557887463;-2.02668771248407;-0.230159732730414;-0.200942972562787;-1.39724710392491;0.990423009365549;"Chaetodon sedentarius";0.139;0.168
"teste.5%41";"Mussismilia.hispida";"Sparisoma tuiupiranga";-0.280418796886359;-0.97857579327849;0.435655339113396;0.61895815167237;-0.339615318099866;2.20166190955418;"Sparisoma tuiupiranga";0.006;0.009
"teste.5%17";"Mussismilia.hispida";"Chaetodon striatus";1.66983666127398;0.487775597684147;3.60750902177937;2.24756544522284;0.234242199265686;5.6589869670791;"Chaetodon striatus";0.065;0.075
"teste.5%131";"Mussismilia.hispida";"Halichoeres dimidiatus";-0.0992902375711306;-1.12098454115038;1.28631524651367;0.691372631035391;-0.97780320590862;3.45042739747047;"Halichoeres dimidiatus";0.288;0.293
"teste.5%151";"Mussismilia.hispida";"Rypticus saponaceus";-0.684430950900896;-2.82250162641135;2.37865820975408;-0.246934364334062;-4.10772242443699;4.68681113128909;"Rypticus saponaceus";0.652;0.649
"teste.5%18";"Mussismilia.hispida";"Acanthurus bahianus";1.85243740622443;0.989813294230662;2.89121513933346;0.691529801494912;-0.465691815538847;2.37648093577202;"Acanthurus bahianus";0.01;0.01
"teste.5%61";"Mussismilia.hispida";"Acanthurus chirurgus";1.24056696463358;0.517272605692549;1.97956446927682;-0.0812086801204826;-0.788660255982993;0.702486888053763;"Acanthurus chirurgus";0.002;0.005
"teste.5%161";"Mussismilia.hispida";"Sparisoma amplum";-1.33452393720614;-2.39940257772737;-0.285195404703122;-1.2943425654317;-3.21410139398043;0.139967115530116;"Sparisoma amplum";0.145;0.127
"teste.5%21";"Mussismilia.hispida";"Halichoeres brasiliensis";2.43011062028674;0.794617650278563;4.66888284985149;4.98749738024111;1.61746696955475;9.40277604439163;"Halichoeres brasiliensis";0.048;0.039
"teste.5%111";"Mussismilia.hispida";"Bodianus rufus";0.294626332469966;-0.332678263520243;0.949343852567572;0.537001253561538;-0.217998051203336;1.50765813331386;"Bodianus rufus";0.368;0.37
"teste.5%31";"Mussismilia.hispida";"Sparisoma axillare";3.40525403205451;1.90110794710438;5.69326802497236;1.4098422103769;-0.63943544711344;4.84545912994658;"Sparisoma axillare";0;0
"teste.5%91";"Mussismilia.hispida";"Holocentrus adscensionis";1.34506026827826;0.550049921969798;2.3789086336423;1.47167401424294;0.0488862428802041;3.6281284310342;"Holocentrus adscensionis";0.002;0.002
