ndet;sp;number of coral species in which it was analyzed
473;abudefduf.saxatilis;3
472;acanthurus.chirurgus;3
395;holocentrus.adscensionis;3
368;stegastes.fuscus;3
365;sparisoma.axillare;4
346;thalassoma.noronhanum;1
300;acanthurus.coeruleus;2
299;cephalopholis.fulva;1
297;halichoeres.poeyi;3
278;acanthurus.bahianus;3
258;sparisoma.frondosum;3
183;chaetodon.striatus;2
166;sparisoma.amplum;1
154;halichoeres.brasiliensis;3
145;stegastes.pictus;1
134;elacatinus.figaro;2
134;gnatholepis.thompsoni;1
115;bodianus.rufus;2
115;myripristis.jacobus;1
111;sparisoma.radians;1
103;serranus.baldwini;1
102;ophioblennius.trinitatis;1
95;stegastes.variabilis;1
90;scarus.zelindae;2
72;parablennius.marmoreus;1
37;cryptotomus.roseus;1
