"","Family","Name","Body_size","Diet","Home_range","Size_group","Level_water","Diel_activity","Aspect_ratio","Trophic_level","IUCN_status"
"5","acanthuridae","acanthurus.bahianus",38.1,"hd","mob","medg","low","day",2.43,"2","lc"
"7","acanthuridae","acanthurus.chirurgus",39,"hd","mob","medg","low","day",1.867165,"2","lc"
"423","chaetodontidae","chaetodon.sedentarius",15,"im","sed","pair","low","day",2.11002,"3,9","lc"
"426","chaetodontidae","chaetodon.striatus",16,"is","sed","pair","low","day",2.55873,"3,5","lc"
"792","gobiidae","coryphopterus.glaucofraenum",8,"om","sed","smallg","bottom","day",0.671503,"2,7","lc"
"997","holocentridae","holocentrus.adscensionis",61,"im","sed","sol","low","both",2.109165,"3,1","lc"
"1074","labridae","halichoeres.radiatus",51,"im","mob","sol","low","day",1.49584,"3,5","lc"
"1081","labridae","halichoeres.brasiliensis",39.5,"im","mob","sol","low","day",0.767686,"3,7","dd"
"1082","labridae","halichoeres.penrosei",11.9,"im","mob","sol","low","day",NA,"3,4","lc"
"1088","labridae","bodianus.rufus",40,"im","mob","sol","low","day",1.61543,"3,7","lc"
"1096","labridae","halichoeres.dimidiatus",27,"im","mob","sol","low","day",0.856824,"3,6","lc"
"1581","pomacentridae","abudefduf.saxatilis",23,"om","mob","smallg","low","day",1.53883,"3,8","lc"
"1602","pomacentridae","stegastes.fuscus",12.6,"hd","sed","sol","low","day",1.47883,"3,3","lc"
"1633","scaridae","sparisoma.tuiupiranga",15.4,"hd","mob","smallg","low","day",1.18429,"2","lc"
"1640","scaridae","sparisoma.frondosum",34.5,"hd","mob","smallg","low","day",1.35,"2","dd"
"1641","scaridae","sparisoma.amplum",39,"hd","mob","smallg","low","day",NA,"2","lc"
"1643","scaridae","cryptotomus.roseus",13,"hd","mob","smallg","low","day",1.11485,"2","lc"
"1645","scaridae","scarus.zelindae",33.2,"hd","mob","smallg","low","day",NA,"2","dd"
"1656","scaridae","sparisoma.axillare",43.7,"hd","mob","smallg","low","day",1.2,"2","dd"
"1861","serranidae","epinephelus.morio",125,"im","mob","sol","bottom","day",1.185605,"3,5","vu"
"1865","serranidae","rypticus.saponaceus",35,"im","sed","sol","bottom","both",1.22812,"4,1","lc"
"1884","serranidae","mycteroperca.acutirostris",80,"fc","mob","sol","bottom","day",1.13143,"3,4","lc"
