;Site;Longitude;Latitude;Number of photoquadrats;Number of videoplots;Millepora.alcicornis;Mussismilia.hispida;Porites.astreoides;Siderastrea.spp
1;abrolhos.chapeirao.raso;-38.6625;-17.96277778;15;10;0.044166667;0.08031746;0.103101432;0.639081108
2;abrolhos.portinho_norte.raso;-38.69777778;-17.96138889;15;6;0.059259259;0.030917874;0;0.709822866
3;abrolhos.siriba.raso;-38.71583333;-17.97055556;15;5;0.056140351;0.166666667;0;0.577192982
4;arraial.anequim.fundo;-41.984482;-22.980484;4;5;0;0;0;0.75
5;arraial.anequim.raso;-41.984482;-22.980484;6;5;0.629073277;0.004930472;0;0.199329585
6;arraial.cardeiros.fundo;-42.00165556;-22.96514167;5;5;0.059881136;0.210561505;0.0625;0.667057359
7;arraial.cardeiros.raso;-42.00165556;-22.96514167;3;3;0.64516621;0;0;0.35483379
8;arraial.porcos_oeste.fundo;-41.993723;-22.96573;4;5;0;0.081753555;0;0.918246445
9;arraial.porcos_oeste.raso;-41.993723;-22.96573;5;5;0.623340901;0.273249002;0;0.103410097
10;costa_corais.barra_da_gale.raso;-35.192744;-9.032689;8;10;0.777200664;0.205128205;0.01171875;0.005952381
11;costa_corais.gales.raso;-35.191486;-9.024256;6;7;0.911237374;0.011111111;0.041666667;0.035984848
12;costa_corais.taocas.raso;-35.180628;-8.9985;8;8;0.423611111;0;0;0.451388889
13;espirito_santo.escalvada.fundo;-40.407589;-20.699631;6;5;0;0;0;0.833333333
14;espirito_santo.escalvada.raso;-40.407589;-20.699631;4;4;0;0;0;0
15;espirito_santo.ilhas_rasas.fundo;-40.366164;-20.676614;6;6;0.166666667;0;0;0.166666667
16;espirito_santo.ilhas_rasas.raso;-40.366164;-20.676614;6;5;0;0;0;0.5
17;espirito_santo.tres_ilhas.fundo;-40.378777;-20.612348;3;3;0;0;0;0
18;espirito_santo.tres_ilhas.raso;-40.378777;-20.612348;3;5;0;0;0;0.333333333
19;ilhabela.ilha_das_cabras.fundo;-45.393889;-23.830333;4;4;0;0;0;0
20;ilhabela.ilha_das_cabras.raso;-45.393889;-23.830333;5;6;0;0.2;0;0
21;ilhabela.saco_do_diogo.fundo;-45.283621;-23.935384;9;6;0;0.333333333;0;0
22;ilhabela.saco_do_diogo.raso;-45.283621;-23.935384;6;7;0;0.833333333;0;0
23;ilhabela.saco_do_sombrio.fundo;-45.243995;-23.893302;7;7;0;0.142857143;0;0
24;ilhabela.saco_do_sombrio.raso;-45.243995;-23.893302;6;6;0;0.666666667;0;0
25;manuel_luis.ana_cristina.fundo;-44.264283;-0.869867;5;5;0;0;0;0.6
26;manuel_luis.ana_cristina.raso;-44.264283;-0.869867;4;3;0;0;0;0.25
27;rocas.ancoras.raso;-33.80355;-3.875172222;5;5;0;0.019047619;0.168380952;0.812571429
28;rocas.falsa_barreta.raso;-33.81884444;-3.860347222;6;6;0;0;0;1
29;rocas.piscina_das_rocas.raso;-33.79191111;-3.86895;5;6;0;0;0;0.6
30;rocas.podes_crer.raso;-33.81225833;-3.872955556;5;5;0;0;0;1
31;rocas.salao.fundo;-33.80944167;-3.874725;4;4;0;0;0;1
32;rocas.tartarugas.raso;-33.80944167;-3.872986111;5;5;0;0;0.056276901;0.943723099
