"","Group.1","decimalLongitude","decimalLatitude","cob_algae$`calcareous turf`","cob_algae$sites_analysis","agaricia spp","favia gravida","millepora alcicornis","montastraea cavernosa","mussismilia harttii","mussismilia hispida","porites astreoides","siderastrea spp"
"1","abrolhos.chapeirao.shallow",-38.6625,-17.96277778,0.3176,"abrolhos.chapeirao.shallow",0.0016,8e-04,0.0064,0.0112,0.0192,0.00826666666666667,0.0170666666666667,0.0570666666666667
"2","abrolhos.portinho_norte.shallow",-38.69777778,-17.96138889,0.693866666666667,"abrolhos.portinho_norte.shallow",0.000177777777777778,0.0064,0.00426666666666667,0.00133333333333333,0,0.00133333333333333,0,0.0186666666666667
"3","abrolhos.siriba.shallow",-38.71583333,-17.97055556,0.638666666666667,"abrolhos.siriba.shallow",0,0,0.00426666666666667,0.00426666666666667,0.0024,0.0024,0,0.00933333333333333
"4","arraial.anequim.deep",-41.984482,-22.980484,0.574672565111111,"arraial.anequim.deep",0,0,0.0228505477777778,0,0,0.000694444444444444,0,0.0288477177222222
"5","arraial.anequim.shallow",-41.984482,-22.980484,0.667873796166667,"arraial.anequim.shallow",0,0,0.0129816773333333,0,0,0,0,0
"6","arraial.cardeiros.deep",-42.00165556,-22.96514167,0.440410210193548,"arraial.cardeiros.deep",0,0,0.0151341742258065,0,0,0.00156385387096774,0.000645161290322581,0.00820733116129032
"7","arraial.porcos_oeste.deep",-41.993723,-22.96573,0.507491776842105,"arraial.porcos_oeste.deep",0,0,0.0370611592105263,0,0,0.0176668458421053,0,0.0291831534736842
"8","arraial.porcos_oeste.shallow",-41.993723,-22.96573,0.518706083,"arraial.porcos_oeste.shallow",0,0,0.103020408,0,0,0.044,0,0.0060816325
"9","costa_corais.barra_da_gale.shallow",-35.192744,-9.032689,0.653066666666667,"costa_corais.barra_da_gale.shallow",0.000977777777777778,0,0.0584,0,0.0338666666666667,0.0072,8e-04,0.000533333333333333
"10","costa_corais.gales.shallow",-35.191486,-9.024256,0.5912,"costa_corais.gales.shallow",8.88888888888889e-05,0,0.0341333333333333,0,0.0304,8e-04,0.000266666666666667,8e-04
"11","costa_corais.taocas.shallow",-35.180628,-8.9985,0.766133333333333,"costa_corais.taocas.shallow",0,0,0.0128,0,0.00746666666666667,0,0,0.0024
"12","espirito_santo.escalvada.deep",-40.407589,-20.699631,0.5957111111,"espirito_santo.escalvada.deep",0,0.000133333333333333,0,0,0,0,0,0.00237777776666667
"13","espirito_santo.ilhas_rasas.deep",-40.366164,-20.676614,0.570222222233333,"espirito_santo.ilhas_rasas.deep",0,0,0.0015,0,0,0,0,0.00544444443333333
"14","espirito_santo.tres_ilhas.deep",-40.378777,-20.612348,0.580533333333333,"espirito_santo.tres_ilhas.deep",0,0,0,0,0,0,0,0
"15","espirito_santo.tres_ilhas.shallow",-40.378777,-20.612348,0.419733333333333,"espirito_santo.tres_ilhas.shallow",0,0,0,0,0,0,0,0.000266666666666667
"16","ilhabela.ilha_das_cabras.deep",-45.393889,-23.830333,0.777846153846154,"ilhabela.ilha_das_cabras.deep",0,0,0,0,0,0.000769230769230769,0,0
"17","ilhabela.ilha_das_cabras.shallow",-45.393889,-23.830333,0.808,"ilhabela.ilha_das_cabras.shallow",0,0,0,0,0,0,0,0
"18","ilhabela.saco_do_diogo.deep",-45.283621,-23.935384,0.568545454545455,"ilhabela.saco_do_diogo.deep",0,0,0,0,0,0.0270909090909091,0,0
"19","ilhabela.saco_do_sombrio.deep",-45.243995,-23.893302,0.778666666666667,"ilhabela.saco_do_sombrio.deep",0,0,0,0,0,0.0137142857142857,0,0
"20","ilhabela.saco_do_sombrio.shallow",-45.243995,-23.893302,0.768,"ilhabela.saco_do_sombrio.shallow",0,0,0,0,0,0,0,0
"21","ilhasc_norte.deserta_norte.deep",-48.331675,-27.264465,0.690814814814815,"ilhasc_norte.deserta_norte.deep",0,0,0,0,0,0,0,0
"22","ilhasc_norte.deserta_norte.shallow",-48.331675,-27.264465,0.788,"ilhasc_norte.deserta_norte.shallow",0,0,0,0,0,0,0,0
"23","ilhasc_norte.saco_dagua.deep",-48.367183,-27.274033,0.643333333333333,"ilhasc_norte.saco_dagua.deep",0,0,0,0,0,0,0,0
"24","ilhasc_sul.xavier_ponta_sul.deep",-48.387576,-27.603507,0.686181818181818,"ilhasc_sul.xavier_ponta_sul.deep",0,0,0,0,0,0,0,0
"25","ilhasc_sul.xavier_ponta_sul.shallow",-48.387576,-27.603507,0.673333333333333,"ilhasc_sul.xavier_ponta_sul.shallow",0,0,0,0,0,0,0,0
"26","manuel_luis.ana_cristina.deep",-44.264283,-0.869867,0.184380952380952,"manuel_luis.ana_cristina.deep",0,0,0,0.000380952380952381,0,0,0,0.00457142857142857
"28","rgnor_natal.batente_das_agulhas.deep",-35.0725,-5.56435,0.371208333375,"rgnor_natal.batente_das_agulhas.deep",0,0,0,0,0,0,0,0
"29","rgnor_natal.pedra_do_silva.deep",-35.090067,-5.564467,0.501714285714286,"rgnor_natal.pedra_do_silva.deep",0,0,0,0,0,0,0,0.00142857142857143
"30","rgnor_parrachos.maracajau.shallow",-35.258986,-5.394114,0.520857142857143,"rgnor_parrachos.maracajau.shallow",0,0.000857142857142857,0,0,0,0,0.00342857142857143,0.0702857142857143
"31","rgnor_parrachos.parrachos_de_rio_do_fogo.shallow",-35.363432,-5.262117,0.1515,"rgnor_parrachos.parrachos_de_rio_do_fogo.shallow",0,0.001,0,0,0,0,0,0.002
"32","rocas.ancoras.shallow",-33.80355,-3.875172222,0.752375,"rocas.ancoras.shallow",0,0,0,0,0,5e-04,0.0035,0.017375
"33","rocas.falsa_barreta.shallow",-33.81884444,-3.860347222,0.59128947368421,"rocas.falsa_barreta.shallow",0,0,0,0,0,0,0,0.0427631578947368
"34","rocas.piscina_das_rocas.shallow",-33.79191111,-3.86895,0.146375,"rocas.piscina_das_rocas.shallow",0,0.00025,0,0,0,0,0,0.0017
"35","rocas.podes_crer.shallow",-33.81225833,-3.872955556,0.660352941176471,"rocas.podes_crer.shallow",0,0,0,0,0,0,0,0.0570588235294118
"36","rocas.salao.deep",-33.80944167,-3.874725,0.300888888888889,"rocas.salao.deep",0,0,0,0,0,0,0,0.192
"37","rocas.tartarugas.shallow",-33.80944167,-3.872986111,0.801888888888889,"rocas.tartarugas.shallow",0,0,0,0,0,0,0.00333333333333333,0.0753333333333333
