Scientific name;Fish age;Family;Actual body size;Maximum body size;Aspect ratio;Trophic level;Group size;Maximum of preferred temperature;Maximum of preferred depth
abudefduf saxatilis;Adult;Pomacentridae;12.16;23;1.54;3.8;smallg;27.85;40
abudefduf saxatilis;Juvenile;Pomacentridae;10;23;1.54;3.8;smallg;27.85;40
acanthostracion polygonius;Adult;Ostraciidae;17.75;50;0.38;2;sol;28.84;80
acanthostracion quadricornis;Adult;Ostraciidae;20;55;1.37;2.7;sol;28.48;80
acanthurus bahianus;Adult;Acanthuridae;21.55;38.1;2.43;2;medg;29.24;40
acanthurus bahianus;Juvenile;Acanthuridae;10;38.1;2.43;2;medg;29.24;40
acanthurus chirurgus;Adult;Acanthuridae;20.69;39;1.87;2;medg;29.37;25
acanthurus chirurgus;Juvenile;Acanthuridae;10;39;1.87;2;medg;29.37;25
acanthurus coeruleus;Adult;Acanthuridae;19.34;39;3.49;2;medg;29.32;40
acanthurus coeruleus;Juvenile;Acanthuridae;10;39;3.49;2;medg;29.32;40
aluterus monoceros;Adult;Monacanthidae;40;76.2;1.54;3.8;pair;28.58;50
aluterus scriptus;Adult;Monacanthidae;35.27;110;0.86;2.8;sol;28.61;120
amblycirrhitus pinos;Adult;Cirrhitidae;8;9.5;1.25;3.2;sol;29.29;46
amblycirrhitus pinos;Juvenile;Cirrhitidae;12;9.5;1.25;3.2;sol;29.29;46
anisotremus moricandi;Juvenile;Haemulidae;15;15.1;2.66;3.4;sol;29.4;12
anisotremus surinamensis;Adult;Haemulidae;30.95;76;2.22;3.6;smallg;28.86;60
anisotremus virginicus;Adult;Haemulidae;23.35;40.6;1.77;3.6;smallg;29.52;40
anisotremus virginicus;Juvenile;Haemulidae;10;40.6;1.77;3.6;smallg;29.52;40
apogon americanus;Juvenile;Apogonidae;10;10.1;1.09;3.4;sol;28.18;50
aulostomus maculatus;Adult;Aulostomidae;100;100;1.24;4.3;smallg;29.84;25
aulostomus strigosus;Adult;Aulostomidae;46.25;75;0.9;4.2;smallg;27.69;25
balistes vetula;Adult;Balistidae;38.33;60;2.79;3.8;sol;28.08;275
bodianus pulchellus;Adult;Labridae;22.65;28.5;1.42;3.6;sol;29.32;120
bodianus pulchellus;Juvenile;Labridae;10;28.5;1.42;3.6;sol;29.32;120
bodianus rufus;Adult;Labridae;23.77;40;1.62;3.7;sol;29.37;70
bodianus rufus;Juvenile;Labridae;10;40;1.62;3.7;sol;29.37;70
bothus ocellatus;Adult;Bothidae;15;18;1.04;3.8;sol;29.89;110
calamus penna;Adult;Sparidae;26.67;46;3.65;4.4;medg;29.52;87
cantherhines pullus;Adult;Monacanthidae;16.33;20;2.02;2.6;sol;29.32;50
cantherhines pullus;Juvenile;Monacanthidae;10;20;2.02;2.6;sol;29.32;50
canthidermis maculata;Adult;Balistidae;28.78;50;1.81;3.5;largeg;28.83;110
canthigaster figueiredoi;Adult;Tetraodontidae;7.6;12;1.33;3.1;pair;28.67;54
canthigaster figueiredoi;Juvenile;Tetraodontidae;10.68;12;1.33;3.1;pair;28.67;54
carangoides bartholomaei;Adult;Carangidae;34.81;100;3.61;4.5;largeg;29.32;50
caranx crysos;Adult;Carangidae;31.5;70;3.36;4.1;largeg;26.99;100
caranx latus;Adult;Carangidae;20;101;3.53;4.2;largeg;28.83;20
caranx ruber;Adult;Carangidae;38;73;4.23;4.3;largeg;29.06;35
cephalopholis fulva;Adult;Serranidae;21.45;44;1.29;4.1;sol;28.83;70
cephalopholis fulva;NA;Serranidae;NA;44;1.29;4.1;sol;28.83;70
chaenopsis ocellata;Adult;Chaenopsidae;8;12.5;NA;3.7;sol;29.97;5
chaenopsis ocellata;Juvenile;Chaenopsidae;13.28;12.5;NA;3.7;sol;29.97;5
chaetodon sedentarius;Adult;Chaetodontidae;8;15;2.11;3.9;pair;29.08;92
chaetodon sedentarius;Juvenile;Chaetodontidae;13.36;15;2.11;3.9;pair;29.08;92
chaetodon striatus;Adult;Chaetodontidae;7.6;16;2.56;3.5;pair;29.32;35
chaetodon striatus;Juvenile;Chaetodontidae;12.71;16;2.56;3.5;pair;29.32;35
chaetodon striatus;NA;Chaetodontidae;NA;16;2.56;3.5;pair;29.32;35
chilomycterus spinosus spinosus;Adult;Diodontidae;20;28;0.83;3.6;sol;25;190
chilomycterus spinosus spinosus;Juvenile;Diodontidae;10;28;0.83;3.6;sol;25;190
chromis multilineata;Adult;Pomacentridae;13.23;20;1.56;3;largeg;28.22;91
chromis multilineata;Juvenile;Pomacentridae;10;20;1.56;3;largeg;28.22;91
clepticus brasiliensis;Adult;Labridae;24.38;30;2.97;3.5;medg;28.18;54
coryphopterus glaucofraenum;Adult;Gobiidae;7.07;8;0.67;2.7;smallg;29.38;45
coryphopterus glaucofraenum;Juvenile;Gobiidae;4.38;8;0.67;2.7;smallg;29.38;45
cryptotomus roseus;Adult;Scaridae;7.57;13;1.11;2;smallg;29.37;30
cryptotomus roseus;Juvenile;Scaridae;10.89;13;1.11;2;smallg;29.37;30
dactylopterus volitans;Adult;Dactylopteridae;30;50;1.47;3.7;sol;26.66;100
diodon hystrix;Adult;Diodontidae;35;91;1.53;3.7;sol;28.45;50
diplodus argenteus;Adult;Sparidae;17.14;37.8;3.57;3.1;smallg;24.78;28
