Coral;Fish;Age class;intercept;low.int;high.int;estimate.coral;low.coral;high.coral;estimate.turf;low.turf;high.turf;Bayesian P-value
agaricia spp;;;;;;;;;;;;
;acanthurus bahianus;1;2.36;1.03;4.39;4.92;0.34;12.94;0.15;-0.57;0.86;0.029
;acanthurus chirurgus;1;1.07;0.39;1.85;-0.56;-1.41;0.17;-0.68;-1.65;0.16;0
;haemulon plumierii;1;1.78;-0.44;4.73;8.56;0.32;18.18;-2.43;-8.16;-0.18;0.015
;halichoeres dimidiatus;1;-1.74;-4.25;0.8;-7.12;-22.79;-0.11;-3.11;-14.61;0.02;0.096
;ocyurus chrysurus;1;0.17;-1.1;1.78;6.36;1.39;12.78;-0.16;-0.92;0.64;0.003
;pomacanthus arcuatus;1;-2.26;-3.67;-0.65;-1.78;-5.97;0.77;2.46;-0.58;3.04;0.295
;pseudupeneus maculatus;1;2.26;0.76;4.87;1.81;-1.41;9.43;-1.17;-3;0.15;0.007
;sparisoma axillare;1;2.61;1.22;4.76;4.83;0.17;12.9;-0.87;-1.92;0;0.003
;sparisoma frondosum;1;2.28;0.86;4.55;5.27;0.39;14.11;0.05;-0.66;0.73;0.068
;thalassoma noronhanum;1;-0.88;-1.58;-0.14;0.15;-0.88;2.04;-0.66;-1.4;0.02;0
;abudefduf saxatilis;1;4.94;2.67;8.08;3.27;-0.65;10.9;-0.1;-2.45;1.55;0
;acanthurus coeruleus;1;1.84;0.3;4.03;6.94;1.12;15.41;-0.95;-1.88;-0.19;0.142
;anisotremus virginicus;1;2.67;1.22;4.82;4.52;0.09;12.42;-0.2;-1.56;0.79;0.015
;bodianus rufus;1;0.5;-0.23;1.45;0.12;-1.13;2.76;0.44;-0.25;1.21;0.016
;carangoides bartholomaei;1;-0.81;-2.17;0.43;-4.26;-9.71;-0.4;-0.28;-1.17;0.54;0.027
;caranx ruber;1;-1.26;-4.65;2.33;-4.91;-46.76;17.65;-3.26;-17.17;0.49;0.368
